annoying - enjoyable,not understandable - understandable,creative - dull ,easy to learn - difficult to learn ,valuable - inferior,boring - exciting ,not interesting - interesting ,unpredictable - predictable ,fast - slow,inventive - conventional,obstructive - supportive ,good - bad,complicated - easy ,unlikable - pleasing,usual - leading edge ,unpleasant - pleasant ,secure -  not secure ,motivating - demotivating ,meets expectations - does not meet expectations ,inefficient - efficient ,clear - confusing ,impractical - practical ,organized - cluttered,attractive - unattractive,friendly - unfriendly ,conservative - innovative
-1,2,0,1,-3,1,3,1,3,2,3,3,2,1,2,1,2,3,2,3,2,3,3,2,1,0
-1,3,-3,-3,-3,2,3,3,3,0,3,2,2,1,1,3,2,2,2,3,1,2,3,2,1,3
-1,2,1,2,2,3,2,1,2,1,1,2,2,1,3,2,1,2,3,3,-2,2,2,1,2,3
-1,2,-1,-2,-2,2,1,1,1,-1,1,2,1,2,2,1,1,2,1,1,2,3,3,2,2,2
-1,3,-1,-2,-3,1,1,2,-3,-1,2,2,1,2,1,1,1,3,2,2,1,3,1,2,3,3
-1,0,0,0,-1,-1,0,-1,0,1,0,1,-1,-1,-1,-2,0,1,0,-2,0,-1,1,-3,0,0
-1,1,-2,1,1,1,3,-1,2,0,2,3,1,1,1,3,3,1,0,2,1,3,2,2,2,-3
-1,1,-1,-1,0,0,0,0,0,0,1,0,1,2,0,1,0,-1,-1,1,-1,1,-1,0,-1,1
2,2,0,2,1,0,1,0,2,0,2,3,2,2,0,2,2,3,2,2,2,2,2,2,2,2
1,1,0,0,0,0,0,0,1,-1,-1,0,0,1,0,0,1,-1,1,-1,0,-1,-1,0,0,0
0,0,-1,0,-2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-1
1,1,-1,0,-2,-2,0,1,0,1,-1,-1,1,0,0,1,0,-1,0,1,-1,0,2,1,2,1
1,2,2,-1,2,1,2,2,1,2,3,3,2,2,2,2,1,3,1,1,1,1,1,2,1,3
2,2,-2,-1,-1,2,1,1,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,-1,1
2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,3,3,3,2,2,3
2,2,2,1,2,-2,2,2,-2,1,2,1,3,-1,1,0,-1,1,1,-1,2,-1,1,2,2,-2
1,1,0,-1,0,2,1,0,-1,0,2,-1,1,2,2,0,-1,-2,-1,0,-2,0,-1,-2,0,2
2,2,2,2,3,2,2,1,2,1,3,3,2,2,0,2,2,3,1,2,3,2,3,3,2,3
2,1,1,1,0,1,1,0,2,0,1,2,1,2,2,1,1,2,1,1,0,0,1,1,1,2
2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,-1,1,0,-1,0,1
1,0,1,0,-2,0,0,1,-1,-1,2,2,1,0,0,1,0,-1,1,1,0,0,1,-2,-1,0
1,2,0,1,1,0,2,1,1,1,1,1,1,1,0,1,0,0,2,2,2,1,1,1,2,1
2,2,-2,-2,-1,1,1,0,-2,0,-2,-1,0,2,1,1,-2,-2,-3,1,-2,2,-2,-3,-3,2
1,2,0,0,-1,1,2,-1,0,1,1,2,1,1,2,1,1,1,0,1,0,2,2,0,1,1
0,0,0,1,0,1,0,2,1,0,2,3,1,0,-2,1,2,2,0,1,1,1,2,1,1,2
0,1,0,2,1,0,0,0,0,1,1,2,2,0,0,2,1,0,1,1,2,2,2,0,0,0
0,2,-1,-1,-2,2,0,1,1,-2,1,1,2,0,0,2,0,0,-1,1,0,1,1,1,1,0
2,1,1,1,1,1,2,0,1,-2,1,2,1,1,0,1,2,1,0,2,2,2,2,1,1,0
3,1,2,3,3,2,2,-2,3,2,2,3,2,2,0,2,3,2,1,2,2,2,2,2,2,1
3,3,3,2,2,1,1,-2,3,-2,2,2,2,1,0,1,1,2,1,1,2,2,2,1,2,2
